Identyfikator,Temat,Status,Projekt,Priorytet,Plik 1,Plik 2,Pliki inne,Data zgłoszenia
0007169,Próba skalowania szafki wstawionej pod kątem innym niż 90 stopni powoduje dziwne zachowanie i np. skurczenie sie szafki,zwrócony,wstawianie szafek kuchennych,wysoki,kafle.dll 4.0.6.55 [21.03.2024 11:25],kafle.dll 4.0.6.58,,2024-03-11
0007020,Nie widać na rzucie dokumentacji ościeżnic wstawionych bez drzwi,zwrócony,bazy danych,normalny,kafle.dll 4.0.6.41,kafle.dll 4.0.6.42,DoorsWindows.dll 4.0.6.27,2024-01-26
0005686,Brak tesktóww tabeli dokumentacji i nieoczekwiany błąd,przypisany,dokumentacja,wysoki,kafle.dll 4.0.2.254,,,2023-04-03
0006903,Aktualizator zawiesza się na pobieraniu dot4cada,zawieszony,aktualizator internetowy,wysoki,iUPDATEx64.exe 9.1.0.4,,,2023-12-15
0006747,Nieaktywna lista baz do pobrania przez aktualizator internetowy,zwrócony,aktualizator internetowy,pilny,IUPDATEx64.exe 9.0.0.46,,,2023-11-08
0003684,"Model Glamour wanna 150x150 cm, biała z bazy Excellent - rzeczywisty wymiar jest inny niż widoczny w oknie el. wnętrzarskich",rozwiązany,bazy danych,normalny,Excellent,,,2021-10-08
0007359,Podłączenie analyticsa do modułu drzwi i okien,rozwiązany,drzwi i okna,pilny,DoorsWindows.dll 4.0.8.6001,,,2024-04-22
0007335,Baza Użytkownika - podczas zapisywania nie wczytuje się zaznaczona kategoria drzwi,rozwiązany,drzwi i okna,wysoki,DoorsWindows.dll 4.0.8.4,,,2024-04-16
0007370,Poprawki w rzutowaniu zmiennych do bazy qmp,rozwiązany,drzwi i okna,normalny,DoorsWindows.dll 4.0.8.1,,,2024-04-23
0007302,Zmiany w module przy dodawaniu obsługi zapisywania bazy użytkownika do designera,rozwiązany,drzwi i okna,normalny,DoorsWindows.dll 4.0.7.1,DoorsWindows.dll 4.0.7.5,DoorsWindows.dll 4.0.7.2001,2024-04-11
0007249,Okna narożne i kolankowe - głębokość parapetu ulega zmianie przy edycji,zwrócony,drzwi i okna,wysoki,DoorsWindows.dll 4.0.6.58,,,2024-03-28
0007264,Brak skalowania ikon w interfejsie przy wysokiej rozdzielczości ekranu i wysokim dpi,zwrócony,manager,wysoki,dodatki.dll 4.0.7.8002,manager.dll 8.0.6.8002,"ukrywacz.dll 4.0.6.8002, listwy.dll 4.0.6.8001, szafki_nowe.dll 4.0.6.8002, CADDecor.exe 4.0.6.8001, CADDecorPro.exe 4.0.6.8001, CADKuchnie.exe 8.0.6.8001, agd.dll 4.0.6.8002, wycena.dll 4.0.6.8001,",2024-04-03
0006908,Długi czas przełączania się między elementami na liście,zawieszony,wstawianie elementów wnętrzarskich,normalny,dodatki.dll 4.0.6.4,konwerter3d.dll 4.0.6.5,,2023-12-18
0006493,Prostokąty/okręgi wracają do początkowego położenia po wstawieniu podłogi,rozwiązany,Designer,normalny,Designer 1.0.1.11,,,2023-08-31
0006532,Zmiana wysokości ściany nie współgra ze skosem,zwrócony,Designer,normalny,Designer 1.0.1.11,,,2023-09-04
0006986,Instalka z licencją,zwrócony,CAD Rozkrój,normalny,CAD_Rozkroj_4_1_13_PL.exe,,,2024-01-18
0006595,Program nie odświeża listy projektów,zwrócony,CAD Rozkrój,normalny,CADRozkroj4.exe 4.1.12.3,,,2023-09-13
0006863,CR wiesza się na wydruku etykiet poprzedzonym wydrukiem listy formatek,rozwiązany,CAD Rozkrój,pilny,CADRozkroj4.exe 4.1.11.2,,,2023-12-05
0007362,Reorganizacja bibliotek CAD Licencji,rozwiązany,CAD,wysoki,CadLicense.msi 1.2.7001,,,2024-04-22
0007432,Licencja online traci ważność jeden dzień przed dniem na który wskazuje Menedżer licencji,rozwiązany,CAD Licencja,pilny,CadLicense.msi 1.1.1,,,2024-05-17
0006989,Dwa różne hardwareID dla tego samego kompa,zwrócony,CAD Licencja,wysoki,CadLicense.msi 1.0.22,CadLicense.msi 1.0.23,,2024-01-19
0006017,"Po wybraniu katalogu docelowego ręcznie, pojawia się komunikat że jest on nieprawidłowym katalogiem.",rozwiązany,instalator baz danych,normalny,caddbInstalltemplate.exe 1.0.0.5,,,2023-06-02
0002821,Modele Polimat/classica nie wyświetlają się poprawnie w renderze podstawowym,rozwiązany,bazy danych,normalny,B_Polimat,,,2020-10-27
0006258,Różnice w kolorystyce blatów po ich skopiowaniu,zwrócony,blaty,normalny,blaty.dll 4.0.6.4,blaty.dll 4.0.6.5,,2023-07-12
0006914,Nie znaleziono porządkowej 3906 w bibliotece dołączanej dynamicznie...sslea32.dll przy pobieraniu baz przez aktualizator,zwrócony,analytics,normalny,analytics.dll 3.3.1.5,,,2023-12-20
0005654,Restart Ekslopratora Windows podczas instalacji dot4cad przez aktualizator,zwrócony,aktualizator internetowy,normalny, iupdate.exe 9.0.0.33,,,2023-03-24
0006404,"Komunikat o braku pakietu, mimo że jest aktywny",przypisany,aktualizator internetowy,pilny,,,,2023-08-11
0007051,iUPDATEx64.exe jest blokowany przez antywirusa Avast,zwrócony,aktualizator internetowy,pilny,,,,2024-02-08
0006697,Kaspersky blokuje cda.exe przez co aktualizacja programu jest nie możliwa,rozwiązany,analytics,wysoki,,,,2023-10-23
0007373,test zlecenia2,rozwiązany,analytics,normalny,,,,2024-04-24
0006614,Dodanie obsługi licencji online,rozwiązany,asystent pobierania,normalny,,,,2023-09-19
0006615,Tłumaczenia,rozwiązany,asystent pobierania,normalny,,,,2023-09-19
0005610,Brak możliwości zmiany głębokości osadzenia drzwi,przypisany,bazy danych,normalny,,,,2023-03-20
0006068,"Rozszerzyć ""mergedb"" o możliwość łączenia baz AGD",przypisany,bazy danych,normalny,,,,2023-06-12
0006072,Źle stworzone listwy oraz układ listew Tubądzin Sophisticated  (white i black),przypisany,bazy danych,wysoki,,,,2023-06-13
0006108,Brak szafek w bazie Uniwersalnej 2023 w porównaniu do Uniwersalnej 2017,przypisany,bazy danych,normalny,,,,2023-06-15
0006975,Brak w bazie drzwi tarasowych 3 skrzydłowych HS,przypisany,bazy danych,wysoki,,,,2024-01-12
0007030,Brak numeru referencyjnego listew w wycenie,rozwiązany,bazy danych,normalny,,,,2024-02-01
0007137,baza Delinia - niepoprawne położenie uchwytu w szafkach z koszami cargo,przypisany,bazy danych,wysoki,,,,2024-03-04
0004487,Dorobienie formularza dla autogeneracji blatów,nowy,blaty,normalny,,,,2022-08-08
0005066,Drugi wymiar dla zaokrąglonych rogów w blacie,rozwiązany,blaty,normalny,,,,2022-12-23
0006207,Przenikanie się powierzchni po autogeneracji blatów na szafkach narożnych,przypisany,blaty,niski,,,,2023-07-03
0006910,Skopiowanie blatu w wizualizacji zmienia kolor jego linii w środowisku cad,przypisany,blaty,niski,,,,2023-12-19
0007035,Zdeformowane blaty w wizualizacji,przypisany,blaty,natychmiastowy,,,,2024-02-05
0007340,odwrócona tekstura w blatach rysowanych w orientacji pionowej,przypisany,blaty,normalny,,,,2024-04-17
0006981,"Potrzebny jakiś przycisk ""ok"" lub informacja ""wyłącz okno żeby przejść do programu"" podczas pierwszego uruchomienia programu",przypisany,CAD Licencja,normalny,,,,2024-01-17
0007007,problem z uruchomieniem CAD Rozkrój po dodaniu do istniejącej licencji,rozwiązany,CAD Licencja,normalny,,,,2024-01-24
0007061,Po imporcie zlecenia nie wczytują się formatki szafek użytkownika,przypisany,CAD Rozkrój,pilny,,,,2024-02-13
0005634,Ikona CAD ShareIt w v4 wprowadza w błąd,rozwiązany,CAD Share-it,wysoki,,,,2023-03-22
0005728,Brak możliwości wyboru konta w dniu zakończenia pakietu serwisowego,rozwiązany,CAD Share-it,normalny,,,,2023-04-12
0005947,ustawienie widoku (kostka) - uwzględnić obiekty 2D i 3D,rozwiązany,Designer,normalny,,,,2023-05-26
0005950,widoki kamery,nowy,Designer,normalny,,,,2023-05-26
0005967,Nie można anulować polecenia klawiszem ESC,zwrócony,Designer,wysoki,,,,2023-05-29
0005992,Fazowanie,rozwiązany,Designer,normalny,,,,2023-05-31
0006005,Strop - propertisy - nazwa Dach -> Strop,rozwiązany,Designer,normalny,,,,2023-05-31
0006100,Ściany - narzędzie dociągania ściany do ściany,rozwiązany,Designer,normalny,,,,2023-06-14
0006121,Skosy - odsunięcie skosu od ściany,rozwiązany,Designer,normalny,,,,2023-06-16
0006177,Otwory/wnęki/występy - tworzenie tylko jeżeli figura obejmuje bryłę i jest na płaszczyźnie równoległej,rozwiązany,Designer,normalny,,,,2023-06-26
0006445,"Dodanie dymka z informacją, że trzeba przebudować strop po dodaniu ścian działowych",nowy,Designer,normalny,,,,2023-08-24
0006471,Błędne obszary łączenia balustrady,rozwiązany,Designer,normalny,,,,2023-08-29
0006474,Przy nieznacznym odchyleniu kąta kamery nie działa ustawienie widoku z góry pomocą sześcianu,rozwiązany,Designer,normalny,,,,2023-08-29
0006475,Potrzebna zmiana kolejności ikon snapów oraz zmiana wyglądu ikony włączającej i wyłączającej wszystkie snapy na spójną z cadem,nowy,Designer,normalny,,,,2023-08-29
0006477,Ściana wstawia się zdeformowana,zawieszony,Designer,wysoki,,,,2023-08-29
0006487,Po naciśnięciu sześcianu program błędnie ustawia widok i rysunek nie znajduje się centralnie na środku,nowy,Designer,normalny,,,,2023-08-30
0006497,Dodanie opcji jak przesuń/obróć/skaluj itp. z górnego paska również pod prawy przycisk myszy i rozwijane menu,nowy,Designer,normalny,,,,2023-08-31
0006503,Przebudowywanie stropu po wstawieniu ścian działowych działa poprawnie tylko za pierwszym razem,nowy,Designer,niski,,,,2023-08-31
0006507,Niespójne nazewnictwo przy budowaniu podestu,rozwiązany,Designer,normalny,,,,2023-08-31
0006512,Program pozwala na dodawanie podług jedna na drugiej,zawieszony,Designer,normalny,,,,2023-09-01
0006515,Możliwość przesuwanie otworów/wnęk/występów poza ścianę,rozwiązany,Designer,normalny,,,,2023-09-01
0006519,Możliwość stworzenia otworu większego od ściany,rozwiązany,Designer,normalny,,,,2023-09-01
0006526,"Po przełączeniu się z rysowania ścian na skosy, nadal rysują się ściany",rozwiązany,Designer,normalny,,,,2023-09-04
0006527,Zwiększenie kąta nachylenia skosu powoduje dziurę w ścianach,nowy,Designer,normalny,,,,2023-09-04
0006538,"Snap prostopadły nie działa z narzędziem ""Miarka""",rozwiązany,Designer,normalny,,,,2023-09-05
0006548,Poziom piętra nie dopasowuje się do ścian,nowy,Designer,normalny,,,,2023-09-06
